"Nome","CNPJ","Razao","Rede","Cluster","Estado","Cidade","Bairro","Endereco","Numero","Complemento","Pontos",,,,,,,
"Jufap Administracao E Participacao - Park Shopping Barigui - KIOSQUE",8,120000000000000,"Park Shopping Barigui","Aquilon Telecomunica��es Ltda","B","PR","Curitiba","Mossungue ","Rua: Pedro Viriato Parigot De Sousa"," 600 - Cep 81200-100 - Loja Luc 275 - Mossungue  - Curitiba (Pr)"," -"," -"," -",,,,,
"Jufap Administracao E Participacao - Shopping Avenida Center - KIOSQUE",8,120000000000000,"#N/D","#N/D","C","PR","Maring�","Centro","Av. S�o Paulo"," 763 - Q-002 1 piso Maringa Bairro zona 09"," -"," -"," -",,,,,
"Jufap Administracao E Participacao - Shopping Center S�o Jose - KIOSQUE",8,120000000000000,"Shopping Center S�o Jose","Jufap Administracao E Participacao","C","PR","S�o Jos� dos Pinhais","Centro","R Izabel A Redentora"," 1434 Quiosque Q-103 Shopping Sao Jose "," -"," -"," -",,,,,
"Jufap Administracao E Participacao - Shopping Palladium - KIOSQUE",8,120000000000000,"Shopping Palladium","Jufap Administracao E Participacao","B","PR","Curitiba","Portao ","Av. Presidente Kennedy"," 4121 - Loja Q-118 Shop Palladium - Cep: 80610-905 - Port�o - Curitiba"," -"," -"," -",,,,,
"Kadri Comercio De Eletronicos Ltda - Goiabeiras Shopping - LOJA",1,3000000000000,"Goiabeiras Shopping","Kadri Comercio De Eletronicos Ltda","C","MT","Cuiab�","Duque De Caxias ","Av General Neves"," 121 - Loja 177 Shopping Center Goiabeiras - Cep: 78043-256 Duque De Caxias - Cuiab� Mt"," -"," -"," -",,,,,
"Kadri Comercio De Eletronicos Ltda - Goiabeiras Shopping Kiosk - KIOSQUE",1,3000000000000,"Goiabeiras Shopping","Kadri Comercio De Eletronicos Ltda","C","MT","Cuiab�","Duque De Caxias ","Av General Neves"," 121 - Loja 177 Shopping Center Goiabeiras - Cep: 78043-256 Duque De Caxias - Cuiab� Mt"," -"," -"," -",,,,,
"Kadri Comercio De Eletronicos Ltda - Rondon Plaza Shopping - LOJA",1,3000000000000,"Rondon Plaza Shopping","Martinello","C","MT","Rondon�polis","Parque Sagrada Familia ","Av Rotary Internacional"," 1950 - Edif Rondon Plaza Shoppinsala Loja 208/09-A - Cep 78735-219 -N Parque Sagrada Familia - Rondonopolis - Mt"," -"," -"," -",,,,,
"Kadri Comercio De Eletronicos Ltda - Shopping 3 Americas - KIOSQUE",1,3000000000000,"Shopping 3 Americas","Kadri Comercio De Eletronicos Ltda","C","MT","Cuiab�","Jardim Das Americas","Av Brasilia"," 146 - Qp-02 1 Piso Bloco B Shopping Tres Americas - Cep: 78060-601 - Jardim Das Americas - Cuiaba (Mt)"," -"," -"," -",,,,,
"Kadri Comercio De Eletronicos Ltda - Shopping Pantanal - LOJA",1,3000000000000,"Shopping Pantanal","Kadri Comercio De Eletronicos Ltda","A","MT","Cuiab�","Bosque Da Saude ","Av. Historiador Rubens De Mendonca"," 3300 Complemento Sala 2026 E 2027. Cep 78050-000  Bairro Distrito Bosque Da Saude "," -"," -"," -",,,,,
"Kadri Comercio De Eletronicos Ltda - Shopping Pantanal Kiosk - KIOSQUE",1,3000000000000,"Shopping Pantanal Kiosk","Kadri Comercio De Eletronicos Ltda","C","MT","Cuiab�","Bosque Da Saude ","Av. Historiador Rubens De Mendon�a"," 3300. Quiosque 320 Shopping Pantanal. Cep 78050-000  Bairro Distrito Bosque Da Saude "," -"," -"," -",,,,,
"Kadri Comercio De Eletronicos Ltda - Shopping Pantanal Kiosk 2 - KIOSQUE",1,3000000000000,"Shopping Pantanal Kiosk 2","Kadri Comercio De Eletronicos Ltda","C","MT","Cuiab�","Bosque Da Saude ","Av. Historiador Rubens De Mendonca"," 3300 Complemento QUIOSQUE Q-103A PISO 1. Cep 78050-000  Bairro Distrito Bosque Da Saude "," -"," -"," -",,,,,
"Kadri Comercio De Eletronicos Ltda - Shopping Varzea Grande - LOJA",1,3000000000000,"Shopping Varzea Grande","Martinello","C","MT","Varzea Grande","Centro Sul","Rua Filinto Muller S/N"," Lote 01 a 15 Quadra 02 Lj 208"," -"," -"," -",,,,,
"Mastercell Com De Eletronicos Ltda - Balneario Camboriu Shopping - LOJA",2,46000000000000,"Balneario Camboriu Shopping","Mastercell Com De Eletronicos Ltda","A","SC","Camboriu","Dos Estados ","Av. Santa Catarina"," 01 Sala 01 L150 Bairro Dos Estados Cep 88.339-005 Balne�rio Camburiu"," -"," -"," -",,,,,
"Mastercell Com De Eletronicos Ltda - Continente Park Shopping - LOJA",2,46000000000000,"Continente Park Shopping","Mastercell Com De Eletronicos Ltda","B","SC","S�o Jos�","Distrito Industrial ","Rod Br 101 - Sn - Km 211 Sala L104 - Cep: 88104-800 - Distrito Industrial - S�o Jos� (Sc)"," -"," -"," -",,,,,,
"Mastercell Com De Eletronicos Ltda - Farol Shopping - LOJA",2,46000000000000,"Farol Shopping","Mastercell Com De Eletronicos Ltda","C","SC","Tubarao","Aeroporto ","Av Marcolino Martins Cabral"," 2525- LOJA SUC 10 - Farol Shopping"," -"," -"," -",,,,,
"Mastercell Com De Eletronicos Ltda - Itajai Shopping Center - KIOSQUE",2,46000000000000,"Itajai Shopping Center","Mastercell Com De Eletronicos Ltda","C","SC","Itajai","Centro "," Rua Samuel Heusi",234," Quiosque 07  Cep: 88301-320 Centro "," -"," -"," -",,,,
"Mastercell Com De Eletronicos Ltda - Joinville Garten Shopping - LOJA",2,46000000000000,"Joinville Garten Shopping","Mastercell Com De Eletronicos Ltda","B","SC","Joinville","Bom Retiro ","R. Rolf Wiest"," 333 loja 114 Bom Retiro Cep 89223-005 - Joinville"," -"," -"," -",,,,,
"Mastercell Com De Eletronicos Ltda - Lages Garden Shopping - LOJA",2,46000000000000,"Lages Garden Shopping","Mastercell Com De Eletronicos Ltda","C","SC","Lages","Guaruja","Rod Br 282 Km 216�S/N Loja 24 E 25 Lages Guarden Shopping "," -"," -"," -",,,,,,
"Mastercell Com De Eletronicos Ltda - Na��es Shopping - LOJA",2,46000000000000,"Na��es Shopping","Mastercell Com De Eletronicos Ltda","C","SC","Criciuma","Nossa Sra da Saleta","Avenida Jorge Elias De Lucca"," 677 - Bairro Nossa Sra da Saleta / Criciuma - SC (loja 124) CEP 88813-390"," -"," -"," -",,,,,
"Mastercell Com De Eletronicos Ltda - Neumarkt Shopping - LOJA",2,46000000000000,"Neumarkt Shopping","Mastercell Com De Eletronicos Ltda","B","SC","Blumenau","Centro ","R Sete De Setembro"," 1213 - Loja 126  - Cep: 89010-911 - Centro - Blumenau"," -"," -"," -",,,,,
"Mastercell Com De Eletronicos Ltda - Norte Shopping Blumenau - KIOSQUE",2,46000000000000,"Norte Shopping Blumenau","Mastercell Com De Eletronicos Ltda","C","SC","Blumenau","Salto Norte ","Rod Br 470, 3000- Quiosq28 - Cep 89065-800 Bairro Salto Norte 
"," -"," -"," -",,,,,,
"Mastercell Com De Eletronicos Ltda - Shopping Iguatemi Floripa - LOJA",2,46000000000000,"Shopping Iguatemi Floripa","Mastercell Com De Eletronicos Ltda","A","SC","Florian�polis","Santa Monica ","Av. Madre Benvenuta"," 687 - Sala 269 - Cep: 88035-000 - Santa M�nica - Florian�polis (Sc)"," -"," -"," -",,,,,
"Mastercell Com De Eletronicos Ltda - Shopping Iguatemi Floripa - LOJA",2,46000000000000,"Shopping Iguatemi Floripa","Mastercell Com De Eletronicos Ltda","C","SC","Florian�polis","Santa Monica ","Av. Madre Benvenuta"," 687 - Sala 269 - Cep: 88035-000 - Santa M�nica - Florian�polis (Sc)"," -"," -"," -",,,,,
"Mastercell Com De Eletronicos Ltda - Shopping Itagua�u - LOJA",2,46000000000000,"Shopping Itagua�u","Mastercell Com De Eletronicos Ltda","C","SC","S�o Jos�","Barreiros Sede ","R Geroncio Thives"," 1079 Loja 257 Bairro S�o Barreiros Sede"," -"," -"," -",,,,,
"Mastercell Com De Eletronicos Ltda - Shopping Mueller Joinville - KIOSQUE",2,46000000000000,"Shopping Mueller Joinville","Mastercell Com De Eletronicos Ltda","C","SC","Joinville","Centro","Rua Senador Felipe Schmidt"," 235 (ksk18 - 2� Andar) - Centro"," Joinville - SC"," 89201-440"," -"," -"," -",,,
"Mastercell Com De Eletronicos Ltda - Shopping Patio Chapeco - LOJA",2,46000000000000,"Shopping Patio Chapeco","Mastercell Com De Eletronicos Ltda","B","SC","Chapec�","Lider ","Av Fernando Machado",4000," D Loja 06"," Lider - Chapec� - Sc "," -"," -"," -",,,
"Mastercell Com De Eletronicos Ltda - Shopping Via Catarina  - KIOSQUE",2,46000000000000,"Shopping Via Catarina ","Mastercell Com De Eletronicos Ltda","C","SC","Palho�a ","PAGANI","AV AT�LIO PEDRO PAGANI"," N270"," ANDAR 1 QUIOSQUE 3"," CEP 88132-149"," PALHO�A-SC "," -"," -"," -",,
"Mms Do Brasil Ltda - Brisamar Shopping - LOJA",8,34000000000000,"Brisamar Shopping","Mms Do Brasil Ltda","C","SP","S�o Vicente","Centro","R Frei Gaspar"," 365 - Piso 2 loja 211 -  Sao Vicente "," -"," -"," -",,,,,
"Mms Do Brasil Ltda - Litoral Plaza - LOJA",8,34000000000000,"Litoral Plaza","Mms Do Brasil Ltda","B","SP","Praia Grande","TUDE BASTOS (SITIO DO CAMPO)","AV AYRTON SENNA DA SILVA"," 1511 LOJA 62"," -"," -"," -",,,,,
"Mms Do Brasil Ltda - Maua Plaza - LOJA",8,34000000000000,"Maua Plaza","Mms Do Brasil Ltda","C","SP","Maua","Centro","Av Governador Mario Covas Junior (Vl F N Morelli), N�1 Loja: 25/27; "," -"," -"," -",,,,,,
"Mms Do Brasil Ltda - Miramar Shopping - LOJA",8,34000000000000,"Miramar Shopping","Mms Do Brasil Ltda","B","SP","Santos","Gonzaga ","Av Marechal Floriano Peixoto"," 44 - Loja 53 - Cep: 11060-300 Gonzaga - Santos (Sp)"," -"," -"," -",,,,,
"Mms Do Brasil Ltda - Praiamar Shopping - LOJA",8,34000000000000,"Praiamar Shopping","Mms Do Brasil Ltda","A","SP","Santos","Aparecida ","R. Alexandre Martins"," N 80"," Loja 01"," Aparecida�- Santos - Sp / Cep 11025-200"," -"," -"," -",,,
"Mrf Comercio De Celulares E Servi�os Ltda Me - Boulevard Brasilia - KIOSQUE",1,230000000000000,"Boulevard Brasilia","Mrf Comercio De Celulares E Servi�os Ltda Me","B","DF","Bras�lia","Asa Norte ","St Terminal Norte Conjunto J"," S/N"," Quiosque Qt23 Cep: 70770-100"," Asa Norte"," Brasilia- Df"," -"," -"," -",,
"Mrf Comercio De Celulares E Servi�os Ltda Me - Brasilia Shopping - LOJA",1,230000000000000,"Brasilia Shopping","Mrf Comercio De Celulares E Servi�os Ltda Me","A","DF","Bras�lia","Asa Norte ","St Comercial Norte Quadra"," 05 - Bloco A Loja 94S E 98S - Cep: 70715-900 - Asa Norte - Bras�lia (Df)"," -"," -"," -",,,,,
"Mrf Comercio De Celulares E Servi�os Ltda Me - Goiania Shopping - LOJA",1,230000000000000,"Goiania Shopping","Mrf Comercio De Celulares E Servi�os Ltda Me","B","GO","Goi�nia","Setor Bueno ","Av T10",1300," Setor Bueno - Quadra A"," Lote 10/18"," Sal�o M Uso 02"," Loja 163/164 - Cep: 74223-060 -Goiana (Go)"," -"," -"," -",
"Mrf Comercio De Celulares E Servi�os Ltda Me - JK Shopping & Tower - LOJA",1,230000000000000,"JK Shopping & Tower","Mrf Comercio De Celulares E Servi�os Ltda Me","C","DF","Bras�lia","Taguatinga ","Q Qnm 34 Area Especial",1," Loja 314 2 Pavimento - Cep: 72145-450 - Taguatinga - Brasilia - Df"," -"," -"," -",,,,
"Mrf Comercio De Celulares E Servi�os Ltda Me - Park Shopping Brasilia - LOJA",1,230000000000000,"Park Shopping Brasilia","Mrf Comercio De Celulares E Servi�os Ltda Me","A","DF","Bras�lia","Guara ","St De Areas Isoladas/Sudoeste Area"," 6580 - Luc 283/284 - Guara - Bras�lia (Df)Cep 71219-900 "," -"," -"," -",,,,,
"Mrf Comercio De Celulares E Servi�os Ltda Me - Shopping Conjunto Nacional Brasilia - LOJA",1,230000000000000,"Shopping Conjunto Nacional Brasilia","Mrf Comercio De Celulares E Servi�os Ltda Me","A","DF","Bras�lia","Asa Norte ","St De Diversoes Norte Conjunto A"," S/N - Loja 2072 2 Piso Cep: 70077-000 - Asa Norte - Brasilia (Df)"," -"," -"," -",,,,,
"Mrf Comercio De Celulares E Servi�os Ltda Me - Shopping Iguatemi Brasilia - LOJA",1,230000000000000,"Shopping Iguatemi Brasilia","Mrf Comercio De Celulares E Servi�os Ltda Me","B","DF","Bras�lia","Lago Norte ","St Shin Ca 4 Lote A"," Sn - Loja 40 Piso Semi-Enterrado - Cep: 71503-504  - Lago Norte  - Bras�lia (Df)"," -"," -"," -",,,,,
"Mrf Comercio De Celulares E Servi�os Ltda Me - Shopping Patio Brasil - LOJA",1,230000000000000,"Shopping Patio Brasil","Mrf Comercio De Celulares E Servi�os Ltda Me","A","DF","Bras�lia","Asa Sul","St Comercial Sul Quadra 07 Bloco A Sn Loja 01T Terreo Parte Loja T065/066 Asa Sul Brasilia - Df Cep: 70.307-902 "," -"," -"," -",,,,,,
"Mrf Comercio De Celulares E Servi�os Ltda Me - Taguatinga Shopping - LOJA",1,230000000000000,"Taguatinga Shopping","Mrf Comercio De Celulares E Servi�os Ltda Me","A","DF","Bras�lia","Taguatinga ","Q Qs 01 Rua 210 Lote 40 Salao Comercial 3065 2 Pavimento Taguatinga Brasilia-Df"," -"," -"," -",,,,,,
"Mrf Comercio De Celulares E Servi�os Ltda Me - Terra�o Shopping - LOJA",1,230000000000000,"Terra�o Shopping","Mrf Comercio De Celulares E Servi�os Ltda Me","B","DF","Bras�lia","Sudoeste","SHC /AO/S EA 2/8 Lote 05 - Loja 286 - 1� Pavimento"," -"," -"," -",,,,,,
"Multisom - Barra Shopping Sul - LOJA",4,11000000000000,"Barra Shopping Sul","Multisom","B","RS","Porto Alegre","Cristal","Av. Di�rio De Not�cias",300," Luc 1042"," Piso Joquei - Cristal"," Porto Alegre - Rs"," 90810-080"," -"," -"," -",
"Multisom - Bourbon Center Lar - LOJA",4,11000000000000,"Bourbon Center Lar","Multisom","C","RS","Porto Alegre","Sarandi","Av.  Sertorio 8000 - loja 132 � 134 - Bairro Sarandi - Porto Alegre RS"," -"," -"," -",,,,,,
"Multisom - Bourbon Novo Hamburgo - LOJA",4,11000000000000,"Bourbon Novo Hamburgo","Multisom","B","RS","Novo Hamburgo","Centro ","Av Nacoes Unidas N�mero 2001, Loja 1062 Cep 93320-021 

"," -"," -"," -",,,,,,
"Multisom - Bourbon S�o Leopoldo - LOJA",4,11000000000000,"Bourbon S�o Leopoldo","Multisom","C","RS","S�o Leoplodo","Centro ","R Primeiro De Mar�o N� 821 Loja 289 Loja 290 Cep 93010-210 
"," -"," -"," -",,,,,,
"Multisom - Bourbon Shopping Ipiranga - KIOSQUE",4,11000000000000,"Bourbon Shopping Ipiranga","Multisom","C","RS","Porto Alegre ","Jardim Botanico","Av Ipiranga"," 5200 Quiosque 03   Jardim Botanico Cep 90610-000 "," -"," -"," -",,,,,
"Multisom - Bourbon Shopping Wallig - LOJA",4,11000000000000,"Bourbon Shopping Wallig","Multisom","B","RS","Porto Alegre","Cristo Redentor","Av Assis Brasil"," 2611 Loja 203 Cristo Redentor"," -"," -"," -",,,,,
"Multisom - Canoas Shopping - LOJA",4,11000000000000,"Canoas Shopping","Multisom","B","RS","Canoas","Centro ","Av Guilherme Schell"," 6750 - Loja A74/A75 - Cep: 92310-001 - Centro - Canoas - Rn"," -"," -"," -",,,,,
"Multisom - Pra�a Rio Grande Shopping Center - LOJA",4,11000000000000,"Pra�a Rio Grande Shopping Center","Multisom","C","RS","Rio Grande ","Vila Sao Miguel ","Rua Jockey Clube","155 Loja 46"," Shoppi Bairro Vl Sao Miguel  Cep 96212-730"," -"," -"," -",,,,
"Multisom - Royal Plaza Shopping - LOJA",4,11000000000000,"Royal Plaza Shopping","Multisom","C","RS","Santa Maria","Ns. Das Dores ","Av Nossa Senhora Das Dores"," 305 - Loja 360 - Cep: 97050-531 - Nossa Senhora Das Dores - Santa Maria (Rs)"," -"," -"," -",,,,,
"Multisom - Shopping Bella Citta - LOJA",4,11000000000000,"Shopping Bella Citta","Multisom","B","RS","Passo Fundo","Centro ","R Coronel Chicuta"," 355 Loja 11 Shopping Bella Citta - Cep: 99010-050 - Centro - Passo Fundo - Rs"," -"," -"," -",,,,,
"Multisom - Shopping Bourbon Country - KIOSQUE",4,11000000000000,"Rondon Plaza Shopping","Kadri Comercio De Eletronicos Ltda","C","RS","Porto Alegre ","Passo D'Areia","Av Tulio De Rose, 80 Quiosqq 01Q05  Passo D'Areia cep 91340-110
"," -"," -"," -",,,,,,
"Multisom - Shopping Gravatai - LOJA",4,11000000000000,"Shopping Gravatai","Multisom","C","RS","Gravata�","Passo Das Pedras ","Av. Centen�rio 555 Loja 242 A - Passo Das Pedras - Gravata�- Rs Cep. 94035-240"," -"," -"," -",,,,,,
"Multisom - Shopping Iguatemi POA - LOJA",4,11000000000000,"Shopping Iguatemi POA","Multisom","A","RS","Porto Alegre","Passo Dareia ","Av Joao Wallig"," 1800 - Loja 126 Cep: 91340-001 - Passo Dareia - Porto Alegre (Rs)"," -"," -"," -",,,,,
"Multisom - Shopping Pelotas - LOJA",4,11000000000000,"Shopping Pelotas","Multisom","C","RS","Pelotas","Areal ","Av. Ferreira Viana"," 1526 - Lj 28"," Areal - 96085-000 - Pelotas"," -"," -"," -",,,,
"Multisom - Shopping Praia de Belas - LOJA",4,11000000000000,"Shopping Praia de Belas","Multisom","B","RS","Porto Alegre","Menino Deus","Av Praia De Belas"," 1181 Loja 3060 CEP 90110-001 Praia de Belas"," -"," -"," -",,,,,
"Multisom - Shopping Total - KIOSQUE",4,11000000000000,"Shopping Total","Multisom","C","RS","Porto Alegre","Floresta ","Av Cristov�o Colombo 35 - Quiosque 38 - Bairro  Floresta - Cep 90560-003"," -"," -"," -",,,,,,
"Primetek - Flamboyant Shopping Center - LOJA",7,85000000000000,"Flamboyant Shopping Center","Primetek","B","GO","Goi�nia","Jardim Goias ","Av. Deputado Jamel Cec�lio"," N� 3300 � Qd.B-34 Lt.2E � Loja S-258 � Jardim Goi�s � Cep 74810-907 � Goi�nia � Go."," -"," -"," -",,,,,
"Primetek - Portal Shopping - LOJA",7,85000000000000,"Portal Shopping","Primetek","C","GO","Goi�nia","Capuava ","Av Anhanguera N�mero 
14.404 
Complemento 
Quadra Area Lote 39 A/E Luc 290 Cep 
74450-010  Bairro/Distrito 
Capuava "," -"," -"," -",,,,,,
"Primetek - Shopping Buriti - LOJA",7,85000000000000,"Shopping Buriti","Primetek","C","GO","Aparecida de Goi�nia","Vila Sao Tomaz ","Av. Rio Verde"," Sem N�mero - Qd. 102"," Piso T�rrio - Loja 177 - Cep 74916-260 - Goi�nia - Go."," -"," -"," -",,,,
"Primetek - Shopping Buriti Rio Verde - LOJA",7,85000000000000,"Shopping Buriti Rio Verde","Primetek","C","GO","Rio Verde ","Residencial Jardim Campestre","R O"," 1044 Quadra015 Lote 01 Luc'S: 007/008 Cep 75.907-681 Bairro  Residencial Jardim Campestre Rio Verde Go"," -"," -"," -",,,,,
"Primetek - Shopping Passeio das Aguas - LOJA",7,85000000000000,"Shopping Passeio das Aguas","Primetek","C","GO","Goi�nia","Fazenda Caveiras ","Av Perimetral Norte",8303," Loja 113/114 Andar Terreo Piso 1 Cep: 74445-360 - Fazenda Caveiras - Goiania (Go)"," -"," -"," -",,,,
"Primetek - Shopping Sul - LOJA",7,85000000000000,"Shopping Sul","Primetek","C","GO","Val Paraiso","Parque Esplanada Iii","Br 040 Km 12"," Gleba F"," S/N "," Qd 01"," Lt 01"," -"," -"," -",,
"Prosperus Comercio E Servi�os - Barra Shopping - LOJA",1,770000000000000,"Barra Shopping","Prosperus Comercio E Servi�os","A","RJ","Rio de Janeiro","Barra Da Tijuca","Av das Am�ricas 4666 loja 108/114 H"," Barra da Tijuca Rio de Janeiro- RJ CEP: 22640-902"," -"," -"," -",,,,,
"Prosperus Comercio E Servi�os - Boulevard Shopping Feira de Santana - KIOSQUE",1,770000000000000,"Boulevard Shopping Feira de Santana","Prosperus Comercio E Servi�os","C","BA","Feira de Santana","Caseb","Av. Jo�o Durval Carneiro"," 3655 - Caseb"," Feira de Santana - BA"," 44052-064"," -"," -"," -",,,
"Prosperus Comercio E Servi�os - Shopping Itaguari - KIOSQUE",1,770000000000000,"Shopping Itaguari","Prosperus Comercio E Servi�os","C","BA","Santo Ant�nio de Jesus","Centro","Av. Governador Roberto Santos"," 96 - lj. 117"," -"," -"," -",,,,,
"Prosperus Comercio E Servi�os - Shopping Mestre Alvaro - KIOSQUE",1,770000000000000,"Shopping Mestre Alvaro","Prosperus Comercio E Servi�os","C","ES","Serra","Eurico Salles ","Av Joao Palacio S/N, 300 - Loja: Q106A; Cep: 29160-925 -Eurico Salles - Serra - Es"," -"," -"," -",,,,,,
"Prosperus Comercio E Servi�os - Shopping Moxuara - LOJA",1,770000000000000,"Shopping Moxuara","Prosperus Comercio E Servi�os","C","ES","Cariacica","S�o Francisco","Rod Br-262 6555, 6555 Km: 5; Loja: 306 A/B; : Piso L-3; : Shopping Moxara; "," -"," -"," -",,,,,,
"Prosperus Comercio E Servi�os - Shopping Praia da Costa - KIOSQUE",1,770000000000000,"Shopping Praia da Costa","Prosperus Comercio E Servi�os","C","ES","Vila Velha","Praia Da Costa ","Av Doutor Olivio Lira 353 Loja: Q107A; Cep: 29101-260 - Praia Da Costa - Vila Velha -  Es"," -"," -"," -",,,,,,
"Prosperus Comercio E Servi�os - Shopping Rio Sul - KIOSQUE",1,770000000000000,"Shopping Rio Sul","Prosperus Comercio E Servi�os","C","RJ","Rio de Janeiro","Botafogo ","Rua Lauro Sodr�"," 445 - LOJA 101 QAQ17 - Botafogo Rj Cep 22290-070"," -"," -"," -",,,,,
"Prosperus Comercio E Servi�os - Shopping Rio Sul - LOJA",1,770000000000000,"Shopping Avenida Center","Jufap Administracao E Participacao","B","RJ","Rio de Janeiro","Botafogo ","Rua Lauro Sodr�"," 445 - LOJA: 301 PARTE C-34 3AND - Botafogo Rj Cep 22290-070"," -"," -"," -",,,,,
"Prosperus Comercio E Servi�os - Shopping Vila Velha - KIOSQUE",1,770000000000000,"Shopping Vila Velha","Prosperus Comercio E Servi�os","C","ES","Vila Velha","Divino Espirito Santo","R. Luciano das Neves 2418 - Quiosque 1009 Piso 01"," -"," -"," -",,,,,,
"Prosperus Comercio E Servi�os - Shopping Vitoria - LOJA",1,770000000000000,"Shopping Vitoria","Prosperus Comercio E Servi�os","A","ES","Vit�ria","Enseada Do Sua ","Av. Am�rico Buaiz"," 200 Loja 604 - Enseada Do Su� Vit�ria - Esp�rito Santo Cep: 29050-902    "," -"," -"," -",,,,,
"Prosperus Comercio E Servi�os - Shopping Vitoria Kiosk - KIOSQUE",1,770000000000000,"Shopping Vitoria Kiosk","Prosperus Comercio E Servi�os","C","ES","Vit�ria","Enseada Do Sua ","Av Americo Buaiz 200 Loja: S103 Enseada Do Sua ? Municipio De Vitoria "," -"," -"," -",,,,,,
"Rake & Rai Telecomunicacoes Ltda - Shopping Boulevard Tatuape - KIOSQUE",1,45000000000000,"Shopping Boulevard Tatuape","Rake & Rai Telecomunicacoes Ltda","C","SP","S�o Paulo","Tatuap�","R GONCALVES CRESPO, 78 - Tatuap�, S�o Paulo - SP (03.066-030) - QUIOSQ: 29; PAVMTO: 1"," -"," -"," -",,,,,,
"Rake & Rai Telecomunicacoes Ltda - Shopping Central Plaza - KIOSQUE",1,45000000000000,"Shopping Central Plaza","Rake & Rai Telecomunicacoes Ltda","C","SP","S�o Paulo","Vila Prudente","Av Dr Francisco de Mesquita",1000," -"," -"," -",,,,,
"Rake & Rai Telecomunicacoes Ltda - Shopping Iguatemi Caxias do Sul - LOJA",1,45000000000000,"Shopping Iguatemi Caxias do Sul","Rake & Rai Telecomunicacoes Ltda","A","RS","Caxias do Sul","Desvio Rizzo ","Rod Rsc 453 Km 3",5," 2780 - Loja 162 Cep: 95110-130 - Desvio Rizzo - Caxias Do Sul (Rs)"," -"," -"," -",,,,
"Rake & Rai Telecomunicacoes Ltda - Shopping Metro Tatuape - KIOSQUE",1,45000000000000,"Shopping Metro Tatuape","Rake & Rai Telecomunicacoes Ltda","C","SP","S�o Paulo","Tatuap�","Avenida Radial Leste"," s/n Quiosque : s/n Piso : S"," -"," -"," -",,,,,
"Rake & Rai Telecomunicacoes Ltda - Shopping Metro Tatuape - LOJA",1,45000000000000,"Shopping Metro Tatuape","Rake & Rai Telecomunicacoes Ltda","B","SP","S�o Paulo","Tatuap�","Avenida Radial Leste"," s/n Loja: 129 Piso Tatuape"," -"," -"," -",,,,,
"Rake & Rai Telecomunicacoes Ltda - Shopping Metro Tucuruvi - LOJA",1,45000000000000,"Shopping Metro Tucuruvi","Rake & Rai Telecomunicacoes Ltda","B","SP","S�o Paulo","Parada Inglesa ","Av Doutor Antonio Maria Laet"," 566 - Loja 11.1 Primeiro Piso Terreo Cep: 02240-000 - Parada Inglesa - S�o Paulo (Sp)"," -"," -"," -",,,,,
"Rake & Rai Telecomunicacoes Ltda - Shopping Pra�a da Mo�a - KIOSQUE",1,45000000000000,"Shopping Pra�a da Mo�a","Rake & Rai Telecomunicacoes Ltda","C","SP","Diadema","Centro","Rua Manoel Da Nobrega"," 712 - Q13 Piso Paineiras"," -"," -"," -",,,,,
"Rake & Rai Telecomunicacoes Ltda - Shopping San Pelegrino - KIOSQUE",1,45000000000000,"Shopping San Pelegrino","Rake & Rai Telecomunicacoes Ltda","C","RS","Caxias do Sul","S�o Pelegrino","Av. Rio Branco",452," QN03 � Bairro S�o Pelegrino � Caxias do Sul � RS CEP: 98450-000"," -"," -"," -",,,,
"Rastrecall� Representa��es Comerciais  - Am�ricas Shopping - KIOSQUE",5,5000000000000,"Am�ricas Shopping","Rastrecall� Representa��es Comerciais ","C","RJ","Rio de Janeiro","Recreio dos Bandeirantes","Av das Am�ricas"," n15.500"," Recreio dos Bandeirantes"," Rio de Janeiro/RJ (Kiosk 2A � L1) CEP:22790-702"," -"," -"," -",,,
"Rastrecall� Representa��es Comerciais  - Am�ricas Shopping - KIOSQUE",5,5000000000000,"Am�ricas Shopping","Rastrecall� Representa��es Comerciais ","C","RJ","Rio de Janeiro","Recreio dos Bandeirantes","Av das Am�ricas"," n15.500"," Recreio dos Bandeirantes"," Rio de Janeiro/RJ (Kiosk 2A � L1) CEP:22790-702"," -"," -"," -",,,
"Rastrecall� Representa��es Comerciais  - Boulevard Rio - KIOSQUE",5,5000000000000,"Boulevard Rio","Rastrecall� Representa��es Comerciais ","C","RJ","Rio de Janeiro"," Vila Isabel","RUA BAR�O DE S�O FRANCISCO"," 236 QUIOSQUE 103 � VILA ISABEL � CEP 20560-030"," -"," -"," -",,,,,
"Rastrecall� Representa��es Comerciais  - Carioca Shopping - KIOSQUE",5,5000000000000,"Carioca Shopping","Rastrecall� Representa��es Comerciais ","C","RJ","Rio de Janeiro","Vicente De Carvalho ","Avenida Vicente De Carvalho",909,"quiosque 105 piso 1 - VICENTE DE CARVALHO","  Rio De Janeiro - Rj"," "," -"," -"," -",,
"Rastrecall� Representa��es Comerciais  - Center Shopping - KIOSQUE",5,5000000000000,"Center Shopping","Rastrecall� Representa��es Comerciais ","C","RJ","Rio de Janeiro","TANQUE","Rua Geremario Dantas"," 404 - Rio de Janeiro / RJ - QUIOSQ: Q11 PISO L1"," -"," -"," -",,,,,
